"SID","article_number","atlas","global_mean","parameter_estimate","outlier","run","trial","article_cond","msg_share","msg_rel_self","msg_rel_social","trial_type","topic","site"
"BPA01","81","sensorimotor",0.131204009056091,0.349706202745438,"no","2",48,"control",3,4,3,"read_control","climate","Netherlands"
"BPA01","9","value",-0.404745697975159,-0.676440954208374,"no","2",47,"control",2,3,2,"read_control","climate","Netherlands"
"BPA01","9","auditory",-0.404745697975159,0.067076124250889,"no","2",47,"control",2,3,2,"read_control","climate","Netherlands"
"BPA01","9","sensorimotor",-0.404745697975159,0.091793045401573,"no","2",47,"control",2,3,2,"read_control","climate","Netherlands"
"BPA01","90","value",-0.323207944631577,-0.369967758655548,"no","2",56,"control",3,2,2,"read_control","climate","Netherlands"
"BPA01","90","auditory",-0.323207944631577,-0.148653045296669,"no","2",56,"control",3,2,2,"read_control","climate","Netherlands"
"BPA01","90","sensorimotor",-0.323207944631577,-0.160838022828102,"no","2",56,"control",3,2,2,"read_control","climate","Netherlands"
"BPA01","13","value",-0.218892097473145,-0.619799792766571,"no","2",63,"other",2,3,3,"read_other","climate","Netherlands"
"BPA01","13","auditory",-0.218892097473145,-0.257607102394104,"no","2",63,"other",2,3,3,"read_other","climate","Netherlands"
"BPA01","13","sensorimotor",-0.218892097473145,-0.395009726285934,"no","2",63,"other",2,3,3,"read_other","climate","Netherlands"
"BPA01","14","value",-0.230739519000053,-0.624307811260223,"no","2",62,"other",3,4,3,"read_other","climate","Netherlands"
"BPA01","14","auditory",-0.230739519000053,-0.26295605301857,"no","2",62,"other",3,4,3,"read_other","climate","Netherlands"
"BPA01","14","sensorimotor",-0.230739519000053,-0.361105561256409,"no","2",62,"other",3,4,3,"read_other","climate","Netherlands"
"BPA01","15","value",-0.246523141860962,-0.492371827363968,"no","2",40,"other",2,2,2,"read_other","health","Netherlands"
"BPA01","15","auditory",-0.246523141860962,-0.428593248128891,"no","2",40,"other",2,2,2,"read_other","health","Netherlands"
"BPA01","15","sensorimotor",-0.246523141860962,-0.294475436210632,"no","2",40,"other",2,2,2,"read_other","health","Netherlands"
"BPA01","17","value",0.046634491533041,-0.0920395180583,"no","2",64,"other",3,2,2,"read_other","health","Netherlands"
"BPA01","17","auditory",0.046634491533041,-0.141043812036514,"no","2",64,"other",3,2,2,"read_other","health","Netherlands"
"BPA01","17","sensorimotor",0.046634491533041,-0.269796818494797,"no","2",64,"other",3,2,2,"read_other","health","Netherlands"
"BPA01","35","value",-0.344811707735062,-0.415723443031311,"no","2",50,"other",3,2,3,"read_other","health","Netherlands"
"BPA01","35","auditory",-0.344811707735062,-0.626864910125732,"no","2",50,"other",3,2,3,"read_other","health","Netherlands"
"BPA01","35","sensorimotor",-0.344811707735062,-0.725483059883118,"no","2",50,"other",3,2,3,"read_other","health","Netherlands"
"BPA01","36","value",-0.385455548763275,-0.504611551761627,"no","2",61,"other",1,2,2,"read_other","health","Netherlands"
"BPA01","36","auditory",-0.385455548763275,-0.711739361286163,"no","2",61,"other",1,2,2,"read_other","health","Netherlands"
"BPA01","36","sensorimotor",-0.385455548763275,-0.665235877037048,"no","2",61,"other",1,2,2,"read_other","health","Netherlands"
"BPA01","39","value",-0.115240208804607,0.03361539915204,"no","2",37,"other",3,1,1,"read_other","climate","Netherlands"
"BPA01","39","auditory",-0.115240208804607,-0.31174972653389,"no","2",37,"other",3,1,1,"read_other","climate","Netherlands"
"BPA01","39","sensorimotor",-0.115240208804607,-0.146538466215134,"no","2",37,"other",3,1,1,"read_other","climate","Netherlands"
"BPA01","60","value",-0.052254613488913,-0.481759488582611,"no","2",38,"other",4,3,3,"read_other","climate","Netherlands"
"BPA01","60","auditory",-0.052254613488913,-0.362808734178543,"no","2",38,"other",4,3,3,"read_other","climate","Netherlands"
"BPA01","60","sensorimotor",-0.052254613488913,-0.078334473073483,"no","2",38,"other",4,3,3,"read_other","climate","Netherlands"
"BPA01","61","value",0.343790709972382,0.274366021156311,"no","2",49,"other",3,3,3,"read_other","climate","Netherlands"
"BPA01","61","auditory",0.343790709972382,0.430455446243286,"no","2",49,"other",3,3,3,"read_other","climate","Netherlands"
"BPA01","61","sensorimotor",0.343790709972382,0.171382427215576,"no","2",49,"other",3,3,3,"read_other","climate","Netherlands"
"BPA01","66","value",-0.357701301574707,-0.458298742771149,"no","2",39,"other",4,3,3,"read_other","health","Netherlands"
"BPA01","66","auditory",-0.357701301574707,-0.741576910018921,"no","2",39,"other",4,3,3,"read_other","health","Netherlands"
"BPA01","66","sensorimotor",-0.357701301574707,-0.490800827741623,"no","2",39,"other",4,3,3,"read_other","health","Netherlands"
"BPA01","85","value",-0.176962628960609,0.14104175567627,"no","2",52,"other",3,4,4,"read_other","climate","Netherlands"
"BPA01","85","auditory",-0.176962628960609,-0.597043752670288,"no","2",52,"other",3,4,4,"read_other","climate","Netherlands"
"BPA01","85","sensorimotor",-0.176962628960609,-0.672770500183105,"no","2",52,"other",3,4,4,"read_other","climate","Netherlands"
"BPA01","86","value",-0.082457579672337,-0.10302447527647,"no","2",51,"other",3,3,3,"read_other","health","Netherlands"
"BPA01","86","auditory",-0.082457579672337,-0.246522217988968,"no","2",51,"other",3,3,3,"read_other","health","Netherlands"
"BPA01","86","sensorimotor",-0.082457579672337,-0.301050245761871,"no","2",51,"other",3,3,3,"read_other","health","Netherlands"
"BPA01","0","value",0.114963352680206,0.359413266181946,"no","2",69,"self",4,4,3,"read_self","health","Netherlands"
"BPA01","0","auditory",0.114963352680206,0.354744851589203,"no","2",69,"self",4,4,3,"read_self","health","Netherlands"
"BPA01","0","sensorimotor",0.114963352680206,-0.176343500614166,"no","2",69,"self",4,4,3,"read_self","health","Netherlands"
"BPA01","1","value",-0.321623057126999,-0.405737161636353,"no","2",60,"self",3,2,3,"read_self","climate","Netherlands"
"BPA01","1","auditory",-0.321623057126999,-0.596465528011322,"no","2",60,"self",3,2,3,"read_self","climate","Netherlands"
"BPA01","1","sensorimotor",-0.321623057126999,-0.413718312978745,"no","2",60,"self",3,2,3,"read_self","climate","Netherlands"
"BPA01","10","value",-0.043607067316771,-0.156275704503059,"no","2",72,"self",4,4,3,"read_self","climate","Netherlands"
"BPA01","10","auditory",-0.043607067316771,0.170497015118599,"no","2",72,"self",4,4,3,"read_self","climate","Netherlands"
"BPA01","10","sensorimotor",-0.043607067316771,0.254918932914734,"no","2",72,"self",4,4,3,"read_self","climate","Netherlands"
"BPA01","34","value",-0.278116524219513,-0.319548070430756,"no","2",57,"self",2,2,3,"read_self","health","Netherlands"
"BPA01","34","auditory",-0.278116524219513,-0.376948297023773,"no","2",57,"self",2,2,3,"read_self","health","Netherlands"
"BPA01","34","sensorimotor",-0.278116524219513,-0.405724465847015,"no","2",57,"self",2,2,3,"read_self","health","Netherlands"
"BPA01","37","value",-0.138084769248962,-0.461117744445801,"no","2",41,"self",3,3,3,"read_self","climate","Netherlands"
"BPA01","37","auditory",-0.138084769248962,-0.027112402021885,"no","2",41,"self",3,3,3,"read_self","climate","Netherlands"
"BPA01","37","sensorimotor",-0.138084769248962,-0.303444623947144,"no","2",41,"self",3,3,3,"read_self","climate","Netherlands"
"BPA01","51","value",0.06501878798008,-0.291199684143066,"no","2",42,"self",4,3,4,"read_self","health","Netherlands"
"BPA01","51","auditory",0.06501878798008,-0.06744721531868,"no","2",42,"self",4,3,4,"read_self","health","Netherlands"
"BPA01","51","sensorimotor",0.06501878798008,-0.118961334228516,"no","2",42,"self",4,3,4,"read_self","health","Netherlands"
"BPA01","56","value",0.292859613895416,-0.09561613202095,"no","2",70,"self",2,4,3,"read_self","climate","Netherlands"
"BPA01","56","auditory",0.292859613895416,0.533885955810547,"no","2",70,"self",2,4,3,"read_self","climate","Netherlands"
"BPA01","56","sensorimotor",0.292859613895416,0.557413637638092,"no","2",70,"self",2,4,3,"read_self","climate","Netherlands"
"BPA01","62","value",0.031465169042349,0.225954160094261,"no","2",59,"self",4,3,2,"read_self","health","Netherlands"
"BPA01","62","auditory",0.031465169042349,-0.331284791231155,"no","2",59,"self",4,3,2,"read_self","health","Netherlands"
"BPA01","62","sensorimotor",0.031465169042349,-0.32046303153038,"no","2",59,"self",4,3,2,"read_self","health","Netherlands"
