"article_cond","SID","article_number","exclude_item","topic","n_words","msg_rel_self","msg_rel_social","msg_share_broad","msg_share_narrow"
"control","BB-W1-0347",24,0,"climate",NA,50,50,0,25
"control","BB-W1-0347",25,0,"climate",NA,25,25,0,0
"control","BB-W1-0365",1,0,"climate",NA,40,10,40,10
"control","BB-W1-0365",5,0,"climate",NA,50,50,60,50
"control","BB-W1-0365",9,0,"climate",NA,50,0,40,10
"control","BB-W1-0365",16,0,"climate",NA,50,40,50,20
"control","BB-W1-0365",19,0,"climate",NA,60,50,70,50
"control","BB-W1-0370",10,0,"climate",NA,49,53,12,15
"control","BB-W1-0370",12,0,"climate",NA,53,55,11,24
"control","BB-W1-0370",13,0,"climate",NA,59,61,28,34
"control","BB-W1-0370",16,0,"climate",NA,85,89,24,52
"control","BB-W1-0370",18,0,"climate",NA,96,98,59,74
"control","BB-W1-0376",3,0,"climate",NA,74,100,100,100
"control","BB-W1-0376",9,0,"climate",NA,100,100,100,100
"control","BB-W1-0376",15,0,"climate",NA,99,92,100,100
"control","BB-W1-0376",23,0,"climate",NA,98,100,99,98
"control","BB-W1-0376",24,0,"climate",NA,100,100,100,100
"control","BB-W1-0389",4,0,"climate",NA,100,100,95,95
"control","BB-W1-0389",6,0,"climate",NA,90,90,100,100
"control","BB-W1-0389",8,0,"climate",NA,100,100,100,100
"control","BB-W1-0389",12,0,"climate",NA,100,100,100,100
"control","BB-W1-0389",24,0,"climate",NA,100,100,80,75
"control","BB-W1-0392",9,0,"climate",NA,55,56,54,15
"control","BB-W1-0392",14,0,"climate",NA,89,93,86,8
"control","BB-W1-0392",15,0,"climate",NA,80,80,55,4
"control","BB-W1-0392",16,0,"climate",NA,75,76,55,17
"control","BB-W1-0392",17,0,"climate",NA,83,94,90,16
"control","BB-W1-0393",15,0,"climate",NA,5,5,0,0
"control","BB-W1-0393",18,0,"climate",NA,55,55,0,0
"control","BB-W1-0393",19,0,"climate",NA,20,25,0,0
"control","BB-W1-0393",22,0,"climate",NA,25,25,0,0
"control","BB-W1-0393",25,0,"climate",NA,30,35,0,0
"control","BB-W1-0398",2,0,"climate",NA,1,7,0,0
"control","BB-W1-0398",11,0,"climate",NA,7,10,0,0
"control","BB-W1-0398",13,0,"climate",NA,1,1,0,0
"control","BB-W1-0398",19,0,"climate",NA,13,12,0,0
"control","BB-W1-0398",24,0,"climate",NA,6,2,0,0
"control","BB-W1-0405",1,0,"climate",NA,0,0,0,0
"control","BB-W1-0405",15,0,"climate",NA,0,0,0,0
"control","BB-W1-0405",17,0,"climate",NA,0,0,0,0
"control","BB-W1-0405",24,0,"climate",NA,0,0,0,0
"control","BB-W1-0405",25,0,"climate",NA,5,70,0,0
"control","BB-W1-0410",8,0,"climate",NA,73,73,59,63
"control","BB-W1-0410",11,0,"climate",NA,2,0,0,0
"control","BB-W1-0410",13,0,"climate",NA,0,0,0,0
"control","BB-W1-0410",17,0,"climate",NA,33,45,29,56
"control","BB-W1-0410",25,0,"climate",NA,0,0,0,0
"control","BB-W1-0411",3,0,"climate",NA,92,92,0,19
"control","BB-W1-0411",9,0,"climate",NA,100,100,0,0
"control","BB-W1-0411",10,0,"climate",NA,85,86,0,39
"control","BB-W1-0411",11,0,"climate",NA,80,80,0,0
