"SID","article_cond","article_number","topic","msg_rel_self","msg_rel_social","LiveShare","n_articles","sharing_type","msg_share","sharing_type_key","comment","Article.Title","Source.URL","Topic","check","n_words"
"s008","control",54,"climate",70,80,0,6,1,30,"msg_share_broad","exhaustion tiredness and wildfires were at an all time high for a few days in july across the globe. Some took it in stride though and had outdoor dining of special meals to try to help take the edge off the intense heat.","How Record Heat Wreaked Havoc on Four Continents","https://www.nytimes.com/2018/07/30/climate/record-heat-waves.html","climate",0,43
"s008","other",13,"health",20,60,0,6,1,10,"msg_share_broad","There is little to no evidence that antioxdants can actually ease muscle soreness.","Antioxidants Don’t Ease Muscle Soreness After Exercise","https://www.nytimes.com/2018/01/04/well/live/antioxidants-dont-ease-muscle-soreness-after-exercise.html","wellness",0,13
"s009","other",25,"health",70,60,0,7,1,0,"msg_share_broad","We all benefit when children can grow up to be healthy and productive members of society.","Child’s Play Is Good for All of Us","https://www.nytimes.com/2017/05/03/well/move/childs-play-is-good-for-all-of-us.html","wellness",0,16
"s009","control",7,"climate",60,60,0,7,1,0,"msg_share_broad","How to combat wildfires by using controlled burns before wildfires can break out.","A Forecast for a Warming World Learn to Live With Fire","https://www.nytimes.com/2019/10/24/climate/california-wildfires-climate-change.html","climate",0,13
"s009","self",43,"health",30,70,0,7,1,0,"msg_share_broad","I want people I know to live long and healthy lives. I don't want them to experience dementia in their final years.","Fitness in Midlife May Help Fend Off Dementia","https://www.nytimes.com/2018/03/28/well/mind/fitness-in-midlife-may-help-fend-off-dementia.html","wellness",0,22
"s009","self",1,"climate",80,70,0,7,1,0,"msg_share_broad","I'm concerned about climate change and the future of our world.","5 Takeaways From The Times’s ClimateTECH Conference","https://www.nytimes.com/2017/12/01/climate/climatetech.html","climate",0,11
"s009","control",77,"climate",80,70,0,7,1,0,"msg_share_broad","Wildfires that have broken out around the globe and their effect on climate change.","The Amazon, Siberia, Indonesia A World of Fire","https://www.nytimes.com/2019/08/28/climate/fire-amazon-africa-siberia-worldwide.html","climate",0,14
"s009","self",78,"health",80,70,0,7,1,0,"msg_share_broad","I've always struggled to control my sugar intake and this article really highlights why controlling it is a very good thing for me in the long run.","The Downside of Having a Sweet Tooth","https://www.nytimes.com/2019/07/22/well/eat/the-downside-of-having-a-sweet-tooth.html","wellness",0,27
"s009","self",81,"climate",70,50,0,7,1,0,"msg_share_broad","I worry about the effects oil has on the environment and its contribution to climate change.","The Oil Industry’s Covert Campaign to Rewrite American Car Emissions Rules","https://www.nytimes.com/2018/12/13/climate/cafe-emissions-rollback-oil-industry.html","climate",0,16
"s010","other",102,"health",20,60,0,18,1,10,"msg_share_broad","because I know people who are very much into eating healthy and would be interested in the health benifits.","Why Children (and Pregnant Women) May Want to Eat More Fish","https://www.nytimes.com/2019/10/30/well/eat/children-pregnant-women-eat-fish-seafood-brain-smarter.html","wellness",0,19
"s010","self",7,"climate",70,80,0,18,1,10,"msg_share_broad","Because I have a daughter who lives out west and was greatly impacted by fire a few years ago.","A Forecast for a Warming World Learn to Live With Fire","https://www.nytimes.com/2019/10/24/climate/california-wildfires-climate-change.html","climate",0,19
"s010","control",36,"health",10,20,0,18,1,0,"msg_share_broad","The correlation between eating processed meat and certain types of cancer","Eating Processed Meats Tied to Breast Cancer Risk","https://www.nytimes.com/2018/10/03/well/eat/eating-processed-meats-tied-to-breast-cancer-risk.html","wellness",0,11
"s010","control",58,"climate",10,30,0,18,1,30,"msg_share_broad","how invasive species of grass that are not indigenous  raise the possibility of wildfire.","Invasive Grasses May Worsen Wildfires, Study Suggests","https://www.nytimes.com/2019/11/04/climate/invasive-grasses-wildfires.html","climate",0,14
"s010","self",3,"health",70,70,0,18,1,10,"msg_share_broad","Because I have a 7 yo child who is in schoo.","A Before-School Exercise Program May Help Children Thrive","https://www.nytimes.com/2018/02/14/well/move/a-before-school-exercise-program-may-help-children-thrive.html","wellness",0,11
"s010","other",9,"health",20,70,0,18,1,0,"msg_share_broad","Because I know people who struggle with their weight and I also no the health risks that are associated with being obese","A Probiotic for Obesity","https://www.nytimes.com/2019/07/01/well/eat/a-probiotic-for-obesity.html","wellness",0,22
"s010","control",11,"climate",10,0,0,18,1,0,"msg_share_broad","about the fact that people are staying and working from home more and this is lowering energy usage","Americans Are Staying Home More. That’s Saving Energy.","https://www.nytimes.com/2018/01/29/climate/americans-staying-home-energy.html","climate",0,18
"s010","self",73,"health",20,0,0,18,1,0,"msg_share_broad","Honestly it doesnt other than it is just an interesting piece of information and may effect me in the future","Statins Tied to Risk of Skin Infections","https://www.nytimes.com/2019/11/04/well/live/statins-tied-to-risk-of-skin-infections.html","wellness",0,20
"s010","other",110,"climate",70,70,0,18,1,10,"msg_share_broad","Because it relates to the idea of putting animals a head of people","30 Vaquita Porpoises Are Left. One Died in a Rescue Mission.","https://www.nytimes.com/2017/11/11/climate/vaquita-porpoise-dies.html","climate",0,13
