"SID","article_cond","article_number","topic","n_articles","msg_rel_self","msg_rel_social","msg_share","sharing_type","sharing_type_key","sharing_behavior","n_words"
"s031","other",11,"climate",6,60,60,0,1,"msg_share_broad",0,19
"s031","self",6,"health",6,60,70,0,1,"msg_share_broad",0,29
"s031","other",26,"climate",6,80,80,0,1,"msg_share_broad",0,43
"s031","self",49,"health",6,100,70,0,1,"msg_share_broad",0,31
"s031","other",98,"climate",6,40,60,0,1,"msg_share_broad",0,37
"s031","control",5,"health",6,60,100,0,1,"msg_share_broad",0,32
"s032","other",1,"climate",6,70,60,0,1,"msg_share_broad",0,17
"s032","self",47,"health",6,70,60,0,1,"msg_share_broad",0,9
"s032","control",28,"climate",6,60,60,0,1,"msg_share_broad",0,21
"s032","control",32,"health",6,30,30,0,1,"msg_share_broad",0,25
"s032","other",64,"health",6,50,50,0,1,"msg_share_broad",0,7
"s032","other",11,"climate",6,60,60,0,1,"msg_share_broad",0,13
"s033","other",38,"climate",7,100,100,100,1,"msg_share_broad",0,47
"s033","control",41,"health",7,70,70,20,1,"msg_share_broad",0,33
"s033","self",44,"climate",7,90,90,80,1,"msg_share_broad",1,44
"s033","other",6,"health",7,20,70,20,1,"msg_share_broad",0,36
"s033","self",35,"climate",7,80,80,30,1,"msg_share_broad",0,62
"s033","control",49,"health",7,30,60,30,1,"msg_share_broad",0,21
"s033","self",82,"climate",7,90,100,50,1,"msg_share_broad",0,82
"s034","other",103,"health",7,70,70,20,1,"msg_share_broad",0,18
"s034","other",96,"climate",7,60,70,70,1,"msg_share_broad",0,15
"s034","self",17,"health",7,0,40,20,1,"msg_share_broad",0,26
"s034","self",62,"climate",7,0,20,0,1,"msg_share_broad",0,36
"s034","other",100,"health",7,30,70,80,1,"msg_share_broad",0,22
"s034","control",70,"climate",7,40,40,10,1,"msg_share_broad",0,47
"s034","other",42,"health",7,20,20,0,1,"msg_share_broad",0,24
"s036","control",86,"climate",7,90,100,60,1,"msg_share_broad",0,9
"s036","self",31,"climate",7,10,0,0,1,"msg_share_broad",0,19
"s036","control",91,"health",7,0,0,0,1,"msg_share_broad",0,23
"s036","other",107,"climate",7,70,90,70,1,"msg_share_broad",0,23
"s036","control",36,"health",7,80,90,80,1,"msg_share_broad",0,11
"s036","self",106,"climate",7,100,100,100,1,"msg_share_broad",0,10
"s036","control",109,"health",7,0,10,10,1,"msg_share_broad",0,7
"s037","self",30,"health",10,10,40,40,1,"msg_share_broad",0,32
"s037","other",77,"climate",10,70,60,60,1,"msg_share_broad",0,18
"s037","control",90,"health",10,80,100,60,1,"msg_share_broad",0,17
"s037","self",94,"climate",10,90,90,40,1,"msg_share_broad",0,18
"s037","control",33,"health",10,80,80,30,1,"msg_share_broad",0,9
"s037","other",110,"climate",10,40,10,30,1,"msg_share_broad",0,10
"s037","control",91,"health",10,10,20,40,1,"msg_share_broad",0,14
"s037","other",18,"climate",10,90,80,10,1,"msg_share_broad",0,13
"s037","self",101,"health",10,90,90,30,1,"msg_share_broad",0,8
"s037","other",67,"climate",10,80,80,40,1,"msg_share_broad",0,8
"s038","self",55,"health",10,90,90,50,1,"msg_share_broad",0,21
"s038","control",96,"climate",10,100,100,100,1,"msg_share_broad",0,41
"s038","other",43,"health",10,100,100,100,1,"msg_share_broad",0,16
"s038","control",38,"climate",10,90,80,70,1,"msg_share_broad",0,20
"s038","other",33,"health",10,100,100,100,1,"msg_share_broad",0,18
"s038","self",15,"climate",10,100,100,100,1,"msg_share_broad",0,27
"s038","self",87,"health",10,100,100,100,1,"msg_share_broad",0,25
"s038","other",12,"climate",10,50,70,100,1,"msg_share_broad",0,32
"s038","control",83,"health",10,100,100,100,1,"msg_share_broad",0,16
"s038","control",14,"climate",10,100,100,100,1,"msg_share_broad",0,20
"s039","control",55,"health",3,0,80,70,1,"msg_share_broad",0,23
"s039","self",40,"climate",3,100,100,80,1,"msg_share_broad",0,33
"s039","other",92,"health",3,0,0,20,1,"msg_share_broad",0,18
"s040","other",60,"health",5,90,90,0,1,"msg_share_broad",0,46
"s040","control",107,"climate",5,100,100,0,1,"msg_share_broad",0,44
"s040","self",74,"health",5,100,60,0,1,"msg_share_broad",0,36
"s040","other",103,"health",5,60,60,0,1,"msg_share_broad",0,27
"s040","self",58,"climate",5,100,100,0,1,"msg_share_broad",0,29
"s041","self",61,"climate",3,100,70,90,1,"msg_share_broad",0,42
"s041","control",74,"health",3,100,100,100,1,"msg_share_broad",0,19
"s041","other",104,"climate",3,100,80,100,1,"msg_share_broad",0,51
"s042","control",109,"health",4,100,100,10,1,"msg_share_broad",0,10
"s042","self",24,"climate",4,70,70,80,1,"msg_share_broad",0,32
"s042","other",71,"health",4,70,70,30,1,"msg_share_broad",0,18
"s042","other",56,"climate",4,60,70,20,1,"msg_share_broad",0,30
"s043","other",27,"climate",4,100,100,80,1,"msg_share_broad",0,58
"s043","self",77,"climate",4,100,90,70,1,"msg_share_broad",0,46
"s043","self",13,"health",4,90,90,90,1,"msg_share_broad",0,31
"s043","control",85,"climate",4,100,80,60,1,"msg_share_broad",0,70
"s044","control",51,"climate",8,0,10,0,1,"msg_share_broad",0,18
"s044","self",45,"health",8,90,90,50,1,"msg_share_broad",0,18
"s044","control",107,"climate",8,30,10,30,1,"msg_share_broad",0,12
"s044","other",6,"health",8,20,20,0,1,"msg_share_broad",0,16
"s044","self",65,"climate",8,80,80,60,1,"msg_share_broad",0,28
"s044","other",33,"health",8,70,60,10,1,"msg_share_broad",0,17
"s044","control",72,"climate",8,60,60,10,1,"msg_share_broad",0,26
"s044","self",57,"health",8,60,50,0,1,"msg_share_broad",0,15
"s045","control",108,"climate",11,30,40,0,1,"msg_share_broad",0,35
"s045","self",97,"health",11,80,70,10,1,"msg_share_broad",0,20
"s045","other",18,"climate",11,10,10,0,1,"msg_share_broad",0,28
"s045","other",80,"health",11,60,60,10,1,"msg_share_broad",0,24
"s045","control",24,"climate",11,0,10,0,1,"msg_share_broad",0,30
"s045","self",22,"health",11,30,60,0,1,"msg_share_broad",0,25
"s045","other",86,"climate",11,0,0,0,1,"msg_share_broad",0,22
"s045","control",66,"climate",11,20,10,0,1,"msg_share_broad",0,25
"s045","self",76,"health",11,70,60,10,1,"msg_share_broad",0,24
"s045","other",72,"climate",11,0,0,10,1,"msg_share_broad",0,21
"s045","other",60,"health",11,80,80,0,1,"msg_share_broad",0,23
"s047","other",42,"health",9,40,40,0,1,"msg_share_broad",0,8
"s047","self",38,"climate",9,40,40,0,1,"msg_share_broad",0,13
"s047","control",48,"health",9,0,0,0,1,"msg_share_broad",0,7
"s047","other",67,"climate",9,100,100,0,1,"msg_share_broad",0,10
"s047","self",40,"climate",9,50,50,0,1,"msg_share_broad",0,16
"s047","control",105,"health",9,0,0,0,1,"msg_share_broad",0,10
"s047","self",24,"climate",9,50,50,0,1,"msg_share_broad",0,30
"s047","control",74,"health",9,60,60,0,1,"msg_share_broad",0,15
"s047","other",77,"climate",9,70,70,0,1,"msg_share_broad",0,10
"s048","control",17,"health",5,60,60,0,1,"msg_share_broad",0,28
"s048","self",81,"climate",5,60,60,0,1,"msg_share_broad",0,24
"s048","other",102,"health",5,40,60,0,1,"msg_share_broad",0,22
